Video ID,Title,View Count,Like Count,Comment Count
TunNIAGN8Ac,"The Horrors of Plum Island | Hybrids, Human Experiments and Weaponized Killer Insects",5075195,195230,13452
1xUOaqO_kqU,Watch Along: Your Choice!,420910,17677,1241
9kUromZCP9M,The Rendlesham UFO Encounter and the Alien Message from the Future,1956918,106353,6350
cTrmlTw06KY,After Files: The Many Worlds Theory!,284850,8288,682
MNnvoPKcBSM,Many Worlds Theory: You're in a Parallel Universe | Can You Visit Your Other Lives?,3635458,152103,13291
6PwjoptTj5Q,LIVE Watch-Along: Time Travel,546180,20726,970
-HxKHUEwnug,Ghost Lights or Alien Tech? Signals from Beyond the Grave or Beyond the Solar System?,2009420,99866,5339
r8p44wQMtNE,The Moon’s Dark Secret: Aliens Harvesting Human Souls for FOOD,5031854,200105,21578
2Rlo4gA5Y_Q,"Lemuria After Files! Q&A, AMA, Weird News & Videos",266116,7967,475
WNavHksmXnA,"Atlantis Rises, Lemuria Falls: The War that Sank a Continent",3080045,149176,7377
sbBdtFqHqvA,Cicada 3301 After Files! Q&A AMA Deep Dives,225825,6396,299
3ZfKfkuYwyM,Solving Cicada 3301: Decoding the Internet's Greatest Mystery,3617950,145447,7347
FVll9k_RUSg,"Ghost Hunting After Files! Q&A, AMA, Chop it up",208370,5997,430
SBlf1uukcm0,Life after Death? Communicating with the Other Side,2561448,115066,8132
QZgY6D2s-nc,Unexplainable Phenomenon  The Incredible Story of Dorothy s Return,1575260,58731,1347
FuMxp_A1utI,Hollow Earth: Agartha After Files!,288403,9145,580
CFNvij1f0Nk,Finding Agartha: The Search for the Hidden City in the Center of the Earth,3460626,163274,9880
EBBxZ3PLyrk,"Zimbabwe UFO After Files! Talking UFO Hearings, weird news, AMA, Q&A",277901,7935,549
8UfYrdmOl0I,"Moon Landing After Files: Moon Conspiracies, Glitches, Lost Time, Ghost Phone Calls, Deep Dives, Q&A",350585,10510,1133
yDyJe1nmSOM,The Moon Landing: Stanley Kubrick's Greatest Film | How NASA and Hollywood Fooled the World,5903367,240454,41452
eYJiOflZLn0,"Indrid Cold After Files - Q&A, AMA, Deep Dives",224438,5687,394
1g-wANyGiR0,"Indrid Cold, the Truth about Planet Lanulos and the Mystery of the Smiling Man",3364321,132205,7573
qgZVRbTQ-eQ,"AI Apocalypse After Files: Q&A, AMA, Deep dives, weird news",371876,11778,1455
brQLpTnDwyg,Artificial Intelligence Out of Control: The Apocalypse is Here | How AI and ChatGPT End Humanity,3947356,174751,19024
I4MfgzvCPQs,"After Files: Giants in America - Deep Dives, News, Q&A, Free stuff",226831,7603,527
u2MrTgBoqiI,Forbidden Archaeology: Lost Giants of America | The Smithsonian's Biggest Secret,5913444,217855,19030
rih9-80p0Ec,The Truth about Roswell: Decoding Decades of Deception,5588755,166317,13975
kT4rmfp5Jew,"Operation Mincemeat: After Files! Q&A, MMA, Deep Dive",226117,6407,392
NtUSYNHmPyU,Operation Mincemeat: The Shadow Catalyst for CIA's Dark Age,2442607,116533,5220
HxTbhLfbHtQ,"Kozyrev Mirror After Files! Q&A, AMA, Shoot the Breeze, Real time research",322389,9679,779
a9hwXoCrEUs,Bending Time: The Successful Time Travel Experiments using Kozyrev Mirrors,4119202,201732,12569
x2BQyZorSQc,Aliens & Espionage: Crop Circles and the CIA Coverup | They Don't Want You to Know,6023436,226803,22466
mhwstB-wax8,"Sixth Extinction After Files! Going deep, Q&A, Shoot the breeze",251639,6831,382
-jtqMGKaw6c,Surviving The Next Mass Extinction: Are we too late?,4436832,169885,15321
_jrD-EJnuak,"After Files Live Stream! Talking Varginha, aliens, the cover-up. Plus your questions, AMA, Q&A.",240184,7787,328
E76kpPjxMcw,"Varginha UFO Crash: Alien Contact, Government Denial and Coverup",2814316,149286,8402
WjeNN7X3lRM,Ark of the Covenant: After Files!,262099,8255,556
56OmlPWDRjs,Sacred Object or Ancient Weapon? Where is the Ark of the Covenant and what technology did it use?,3422748,156345,9637
